longitude,latitude,intensity
59.6,34.8,34.64
59.6,34.9,42.26
59.6,35.1,40.73
59.6,35.2,36.39
59.6,35.4,25.05
59.6,35.5,46.08
59.6,35.6,26.74
59.6,35.8,37.32
59.6,35.9,45.22
59.6,36.0,29.25
59.6,36.1,41.17
59.6,36.2,28.70
59.6,36.3,46.79
59.6,36.4,31.97
59.6,36.6,30.92
59.6,36.7,43.39
59.6,36.8,46.29
59.6,36.9,47.99
59.6,37.0,46.76
59.7,34.0,37.13
59.7,34.2,42.34
59.7,34.4,42.47
59.7,34.5,28.14
59.7,34.6,34.92
59.7,34.7,38.84
59.7,34.9,34.70
59.7,35.0,43.30
59.7,35.3,33.53
59.7,35.4,26.41
59.7,35.5,28.70
59.7,35.7,31.02
59.7,35.8,42.88
59.7,36.0,33.03
59.7,36.1,48.07
59.7,36.2,43.54
59.7,36.3,28.48
59.7,36.4,37.99
59.7,36.5,38.09
59.7,36.6,45.75
59.7,36.7,27.44
59.7,36.8,36.46
59.7,36.9,45.74
59.8,34.0,45.09
59.8,34.1,39.92
59.8,34.5,34.02
59.8,34.6,43.77
59.8,34.7,41.97
59.8,34.8,28.83
59.8,34.9,40.25
59.8,35.0,48.59
59.8,35.1,39.40
59.8,35.2,48.91
59.8,35.3,40.73
59.8,35.4,27.86
59.8,35.5,29.66
59.8,35.6,39.36
59.8,35.7,38.81
59.8,35.8,29.43
59.8,36.0,33.08
59.8,36.1,37.64
59.8,36.2,39.64
59.8,36.3,25.99
59.8,36.4,44.93
59.8,36.5,31.82
59.8,36.6,36.17
59.8,36.7,28.76
59.8,36.8,47.55
59.8,36.9,37.66
59.8,37.0,40.14
59.9,34.0,43.97
59.9,34.1,42.10
59.9,34.5,47.90
59.9,34.6,42.56
59.9,34.8,35.05
59.9,35.0,45.73
59.9,35.1,40.12
59.9,35.2,37.63
59.9,35.3,28.26
59.9,35.5,34.65
59.9,35.6,30.67
59.9,35.7,49.92
59.9,35.8,46.08
59.9,35.9,37.22
59.9,36.0,49.89
59.9,36.1,31.55
59.9,36.3,39.85
59.9,36.4,32.39
59.9,36.6,40.96
59.9,36.7,29.54
59.9,36.8,31.49
59.9,37.0,34.93
60.0,34.0,27.54
60.0,34.1,35.46
60.0,34.3,41.12
60.0,34.4,28.09
60.0,34.5,39.91
60.0,34.6,48.36
60.0,34.7,37.37
60.0,34.8,41.10
60.0,35.0,33.52
60.0,35.1,35.19
60.0,35.2,46.27
60.0,35.3,36.87
60.0,35.4,29.14
60.0,35.6,40.67
60.0,35.7,27.78
60.0,35.8,36.62
60.0,35.9,49.59
60.0,36.0,38.25
60.0,36.1,34.52
60.0,36.2,45.43
60.0,36.3,39.29
60.0,36.4,25.25
60.0,36.5,48.40
60.0,36.6,49.59
60.0,36.9,28.83
60.0,37.0,35.70
