A,B,C,D,E,F,target
1.54,II,1,0.294,0.293,-0.591,37.22
0.084,II,6,1.14,0.558,0.465,22.69
-0.447,I,5,0.605,2.093,-0.703,69.4
1.958,III,5,0.044,0.982,0.231,63.1
1.088,II,1,0.271,0.073,-0.169,29.6
-1.458,III,5,0.339,0.108,-3.218,46.86
0.164,III,5,0.206,0.113,3.827,40.12
-0.483,II,4,0.665,0.569,-0.085,27.3
-0.018,II,2,0.461,1.481,0.696,31.33
1.023,II,3,0.083,0.104,1.073,33.16
-0.65,II,1,0.53,2.957,0.123,28.61
0.404,III,3,0.011,0.289,0.474,36.79
-1.047,III,2,0.268,0.712,-3.06,41.54
-0.227,III,1,0.73,0.15,-0.272,27.77
1.557,II,5,0.51,0.685,1.309,47.01
0.948,III,2,0.26,1.074,0.208,37.14
-0.548,III,4,0.394,0.164,-0.052,35.52
-0.887,III,4,0.044,0.387,2.192,39.04
0.412,II,6,1.174,0.516,1.082,26.37
-0.1,III,4,0.156,1.603,3.531,48.37
1.95,II,0,1.26,1.094,-0.516,46.88
-0.816,II,5,0.264,0.708,-1.022,30.55
1.683,I,2,0.058,2.521,0.497,69.9
-1.062,III,5,1.077,0.481,0.421,40.6
1.205,II,1,0.117,0.277,1.401,42.1
1.462,II,2,0.467,1.857,0.095,39.64
-1.244,III,4,0.262,0.983,2.394,51.67
-0.225,II,5,0.147,0.59,-0.04,23.56
0.844,II,6,0.184,0.707,0.132,27.68
-0.352,I,2,0.183,1.616,1.329,53.23
-1.57,I,6,0.433,0.668,0.118,67.36
1.07,II,6,0.32,0.912,-0.177,30.82
-0.053,II,3,0.401,0.12,0.894,24.6
-1.262,III,5,0.084,0.639,0.586,42.45
-1.795,III,3,0.258,2.389,-0.843,67.16
0.083,II,5,0.648,1.23,2.392,34.17
-0.831,II,1,0.459,0.206,-0.114,28.12
1.253,III,8,0.097,0.161,1.427,48.85
-1.37,III,2,0.138,1.501,0.455,46.77
-1.934,II,1,0.386,0.002,0.831,42.11
1.631,III,4,0.294,0.338,0.161,54.5
-0.329,III,3,0.251,0.368,2.652,39.83
1.415,II,4,0.504,1.466,0.077,44.11
0.281,II,2,0.024,0.378,1.306,28.32
1.524,II,2,0.365,3.95,-1.129,46.46
1.753,II,1,1.41,0.951,1.743,47.69
-1.663,II,3,0.361,0.977,2.007,42.47
-0.884,II,6,0.804,1.108,0.594,36.37
-1.267,III,1,0.46,1.719,3.409,41.56
1.826,III,2,0.319,1.194,0.16,58.45
0.779,III,7,0.338,0.209,-0.306,34.17
1.703,III,2,0.532,0.184,0.635,52.74
1.941,III,1,0.197,0.841,-0.715,44.69
1.167,II,3,1.176,0.849,0.775,40.83
1.497,II,5,0.649,0.001,-0.584,29.18
1.763,II,4,0.158,1.836,-0.403,44.37
0.437,III,2,0.45,1.14,1.901,42.01
1.279,III,4,0.148,0.914,0.093,45.14
1.898,III,4,0.041,2.124,1.495,79.62
-0.114,II,4,0.418,1.64,-0.129,36.94
-1.133,II,3,0.399,0.224,-2.272,27.34
0.662,II,2,0.629,0.682,0.377,34.0
-1.778,II,0,0.103,0.683,0.718,40.07
-0.762,III,2,0.203,0.221,-1.912,37.37
-0.493,II,2,0.29,0.468,-0.86,26.14
1.22,II,1,0.243,0.194,-2.08,26.85
-1.904,II,0,0.45,3.093,-1.097,40.17
-0.713,II,3,0.298,0.093,0.777,24.29
-0.773,II,3,0.836,0.721,-1.035,28.6
0.65,I,4,0.404,1.37,1.323,58.77
1.501,II,3,0.413,1.894,-4.028,28.53
-0.078,II,5,0.482,0.279,0.404,19.99
1.376,III,2,0.143,0.064,-0.989,33.03
-0.311,I,4,0.753,1.063,0.337,53.88
0.01,I,2,0.221,0.985,-1.163,47.32
-0.716,II,1,0.117,0.299,1.425,33.16
-1.216,III,4,0.043,1.896,0.675,62.78
1.562,III,4,1.078,2.285,0.867,71.92
0.409,II,5,0.738,0.051,-0.344,17.4
-0.927,I,2,0.334,0.674,-0.53,47.53
0.155,III,0,0.367,0.666,1.746,30.78
-0.381,II,4,1.123,0.214,-2.062,18.21
-1.853,III,2,0.171,0.263,1.338,49.72
0.787,II,6,0.434,0.312,0.294,22.79
1.472,II,1,0.572,0.156,2.443,52.76
0.435,II,1,0.395,1.427,-1.701,24.49
-1.409,III,1,0.606,1.583,0.952,39.93
-0.322,III,1,0.599,1.18,-0.06,38.07
-1.186,III,6,0.558,0.476,-0.439,47.51
-1.319,III,6,0.497,0.045,-0.611,38.49
-0.823,II,1,0.376,3.576,0.837,32.5
1.584,I,1,0.029,1.505,-0.258,53.99
1.372,I,4,0.123,0.049,0.743,56.96
1.175,II,3,0.495,0.431,1.142,33.55
1.712,III,4,0.243,0.006,0.085,49.45
-1.569,II,3,0.079,2.533,0.389,52.07
-1.124,II,2,0.264,2.484,-1.639,39.47
-1.826,II,0,0.446,2.798,2.783,42.46
-1.983,III,1,0.13,1.386,1.925,56.96
0.565,I,6,0.232,0.015,-0.215,46.73
-0.366,I,3,0.471,0.355,2.42,46.97
0.262,II,3,0.369,0.032,1.305,30.01
1.475,II,4,0.617,4.926,0.621,73.71
-0.854,II,4,0.722,0.207,-0.439,27.53
-1.022,III,0,0.174,0.121,-0.074,39.78
1.285,II,3,0.016,1.283,0.168,37.72
-1.901,III,4,0.269,0.267,0.824,45.02
1.704,II,3,0.201,0.432,0.183,39.77
-0.612,I,1,0.022,3.087,-0.264,46.29
-1.866,III,5,0.474,0.956,0.372,54.81
-1.133,II,1,0.136,0.479,2.497,36.16
-1.676,I,0,0.109,2.257,-0.673,56.7
1.379,II,6,0.06,0.291,0.233,30.26
-1.778,II,2,0.09,0.556,0.432,47.06
-1.786,II,6,0.515,3.814,0.314,76.65
0.46,III,1,0.498,0.414,0.325,32.16
-1.16,III,1,0.643,2.936,1.633,42.65
-0.662,II,1,0.027,0.831,0.74,32.29
1.145,II,2,0.034,0.746,1.288,35.03
-0.298,II,2,0.427,4.018,-2.447,31.13
0.918,III,4,0.561,2.907,1.223,65.2
-0.873,II,3,0.162,1.448,3.205,37.38
-1.476,II,4,0.201,0.649,1.172,38.42
-1.728,II,3,0.966,1.424,0.111,47.45
1.354,II,1,0.302,0.457,1.02,45.59
-1.512,III,2,0.238,0.193,0.162,43.49
-1.686,III,2,0.007,0.765,1.086,53.66
-1.372,II,1,0.628,3.695,1.797,42.87
0.086,II,4,0.042,0.687,0.368,23.95
0.753,II,2,0.208,0.983,0.482,36.55
-0.024,II,2,0.383,0.226,-1.778,20.41
0.483,III,3,0.099,1.448,0.443,40.63
-0.011,I,2,0.786,1.158,2.736,60.87
0.977,III,4,0.396,0.282,0.632,38.15
0.414,III,2,1.389,0.388,-0.905,32.5
-1.296,II,5,0.096,0.873,1.367,36.97
-0.656,II,2,0.868,0.001,-1.075,24.68
1.973,II,2,0.926,0.444,2.575,57.77
-0.205,III,3,0.217,1.744,0.298,41.28
0.71,II,1,0.054,1.49,2.842,41.15
-1.31,I,3,0.27,0.703,1.09,56.03
0.703,II,0,0.386,1.432,-0.492,28.36
0.792,III,4,0.711,0.378,-0.518,32.59
-1.359,II,7,0.128,0.097,-0.077,22.16
1.765,II,2,0.285,0.256,0.205,41.33
-0.423,III,4,0.129,1.082,1.744,42.28
-0.615,I,3,0.884,0.506,-0.463,45.62
0.712,III,2,0.136,3.426,0.516,46.42
1.681,II,7,0.204,0.239,0.854,33.69
1.353,II,4,0.022,0.444,0.542,36.56
0.248,III,4,0.959,2.151,1.625,56.86
-1.783,II,2,0.493,0.57,1.55,43.49
-0.057,II,3,0.141,1.596,1.033,33.53
0.483,II,1,0.115,1.065,-0.291,28.26
1.346,III,1,0.329,0.814,0.299,47.81
-1.191,III,4,0.311,0.333,0.206,37.63
-0.137,III,7,0.477,1.719,-1.743,56.83
0.565,I,2,0.15,0.379,2.18,53.76
0.753,II,3,0.194,1.263,0.999,38.07
-1.815,II,1,0.063,0.728,0.491,46.45
1.504,II,3,0.405,0.003,-0.305,32.0
-1.545,III,5,1.105,1.153,1.358,53.8
1.416,II,6,0.305,0.925,0.578,40.7
1.455,III,3,1.408,0.076,0.021,37.38
0.451,III,3,0.125,0.722,0.411,34.02
0.164,II,4,0.464,0.655,0.405,25.3
-0.602,II,3,0.171,0.351,-0.632,25.78
-0.445,I,1,0.284,0.323,-0.628,47.4
1.686,III,5,0.224,1.272,0.326,55.85
0.631,II,3,0.02,0.78,0.181,33.67
-0.141,II,0,0.45,1.643,-1.741,23.8
-0.565,II,4,0.211,0.417,0.49,23.02
1.981,II,3,0.428,1.18,2.875,61.12
1.743,III,1,0.18,0.426,0.63,48.12
1.696,III,4,0.123,1.338,0.799,61.29
1.703,III,1,0.384,0.057,0.729,49.54
-0.573,II,1,0.739,1.833,0.394,33.39
1.336,III,4,0.588,2.665,2.699,75.02
0.753,III,3,0.566,1.895,0.748,49.11
1.652,II,1,0.218,1.01,0.472,43.09
0.942,III,6,1.229,0.588,2.935,56.91
1.332,II,1,0.087,2.757,2.227,53.56
1.201,II,4,0.646,2.155,-1.429,38.37
0.314,II,0,0.133,0.452,-0.105,29.91
0.786,III,4,0.247,1.295,-0.477,44.43
-1.698,II,2,0.656,1.045,2.095,44.11
-0.461,III,1,0.731,0.687,2.656,39.32
1.219,III,2,0.309,2.871,-0.495,53.94
-1.628,I,1,0.116,0.172,-0.489,62.71
-0.68,II,3,0.414,1.866,-1.204,36.24
0.505,II,3,0.452,2.72,0.927,40.32
-0.199,II,3,0.255,0.437,0.259,24.86
-1.711,II,3,0.018,1.037,-0.644,42.88
-1.316,II,0,0.552,2.284,0.919,31.34
0.664,III,2,0.613,2.312,0.404,43.58
0.192,II,5,0.497,0.343,0.267,24.81
0.354,III,2,0.611,1.044,0.171,37.2
1.627,II,3,0.256,0.295,-1.817,32.4
1.732,III,5,0.126,0.106,1.871,55.97
-0.824,II,2,0.269,2.64,4.003,38.83
1.54,II,2,0.693,0.142,0.215,36.73
0.093,I,2,0.121,0.152,-0.318,41.87
0.572,III,0,0.081,0.239,1.38,38.77
-1.596,III,1,0.153,1.506,0.709,50.67
-0.394,II,4,0.442,1.888,1.026,39.05
1.795,II,2,0.869,0.518,-2.087,33.44
1.757,III,2,0.725,0.665,1.044,54.37
-0.339,II,7,0.624,2.145,1.82,49.26
-1.015,II,4,0.456,0.507,0.488,30.64
1.84,II,2,0.16,0.739,0.834,46.24
0.006,II,5,0.549,1.118,-0.06,27.6
1.791,III,7,0.723,0.92,0.764,64.67
-1.859,III,4,0.015,0.484,0.165,52.88
0.377,III,0,0.259,0.623,-0.384,28.05
-0.872,II,3,0.602,1.892,0.057,36.36
-1.984,III,7,0.179,0.811,0.301,71.67
-0.047,II,2,0.871,1.602,0.182,28.06
1.793,III,5,0.594,0.548,-0.905,55.13
-0.165,II,7,0.547,0.822,0.791,28.36
-1.146,II,6,0.342,2.928,-0.049,68.1
0.796,I,1,0.223,1.419,2.009,62.77
1.503,II,2,0.494,1.069,0.09,39.75
1.039,II,3,0.334,1.371,-0.649,36.2
-0.999,II,4,0.022,3.362,-1.714,48.65
1.113,II,2,0.128,0.186,-1.291,30.4
1.111,II,0,0.395,0.855,0.088,31.99
-0.159,II,1,0.648,0.53,-0.138,27.56
1.02,II,4,0.356,0.555,-1.449,26.61
-1.854,III,1,0.706,0.979,0.995,52.43
-1.178,II,5,0.044,0.442,-0.891,30.2
-0.45,I,2,0.074,0.299,1.018,49.02
1.708,III,2,0.467,1.168,0.421,48.6
0.783,III,2,0.154,0.375,0.27,40.89
0.674,III,3,0.074,1.206,1.15,45.87
1.293,III,1,0.149,0.075,0.675,44.99
0.889,II,1,0.303,4.655,1.664,39.71
-1.749,II,2,0.595,1.326,1.458,43.45
1.569,I,2,0.158,2.422,0.446,70.8
